イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\Program.cs,164,0,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.Action{Microsoft.AspNetCore.Builder.IApplicationBuilder})",,,,,"app.UseExceptionHandler(errorApp => {     errorApp.Run(async context =>     {         context.Response.StatusCode = 500;         context.Response.ContentType = ""application/json"";                  var error = context.Features.Get<Microsoft.AspNetCore.Diagnostics.IExceptionHandlerFeature>();         if (error != null)         {             var logger = context.RequestServices.GetRequiredService<ILogger<Program>>();             logger.LogError(error.Error, ""Unhandled exception occurred"");                          await context.Response.WriteAsJsonAsync(new             {                 error = ""内部サーバーエラーが発生しました。"",                 message = app.Environment.IsDevelopment() ? error.Error.Message : ""システム管理者にお問い合わせください。"",                 traceId = context.TraceIdentifier             });         }     }); });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\Program.cs,107,16,T:System.Net.Http.HttpContent,,,,,employees = await response.Content.ReadFromJsonAsync<List<EmployeeDto>>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\Program.cs,78,8,T:System.Uri,,,,,"client.BaseAddress = new Uri(""http://employeeservice-api"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\Program.cs,78,8,M:System.Uri.#ctor(System.String),,,,,"client.BaseAddress = new Uri(""http://employeeservice-api"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\Program.cs,78,8,T:System.Uri,,,,,"client.BaseAddress = new Uri(""http://employeeservice-api"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Services\AttendanceService\API\AttendanceService.API.csproj,File,src\Services\AttendanceService\API\Program.cs,75,4,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String,System.Action{System.Net.Http.HttpClient})",,,,,"builder.Services.AddHttpClient(""EmployeeService"", client =>     {         // Aspire Service Discoveryを使用する場合         client.BaseAddress = new Uri(""http://employeeservice-api"");     });"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AttendanceService\Application\AttendanceService.Application.csproj,File,src\Services\AttendanceService\Application\AttendanceService.Application.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AttendanceService\Domain\AttendanceService.Domain.csproj,File,src\Services\AttendanceService\Domain\AttendanceService.Domain.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,tests\AttendanceService.Domain.Tests\AttendanceService.Domain.Tests.csproj,File,tests\AttendanceService.Domain.Tests\AttendanceService.Domain.Tests.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AttendanceService\Infrastructure\AttendanceService.Infrastructure.csproj,File,src\Services\AttendanceService\Infrastructure\AttendanceService.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AttendanceService\Infrastructure\AttendanceService.Infrastructure.csproj,File,src\Services\AttendanceService\Infrastructure\AttendanceService.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.2"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AttendanceService\Infrastructure\AttendanceService.Infrastructure.csproj,File,src\Services\AttendanceService\Infrastructure\AttendanceService.Infrastructure.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\API\AuthService.API.csproj,File,src\Services\AuthService\API\AuthService.API.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.10,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.10  レコメンデーション：  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\API\AuthService.API.csproj,File,src\Services\AuthService\API\AuthService.API.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.10,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.10  レコメンデーション：  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\API\AuthService.API.csproj,File,src\Services\AuthService\API\AuthService.API.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\API\AuthService.API.csproj,File,src\Services\AuthService\API\AuthService.API.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.2"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AuthService\API\AuthService.API.csproj,File,src\Services\AuthService\API\AuthService.API.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AuthService\Application\AuthService.Application.csproj,File,src\Services\AuthService\Application\AuthService.Application.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\Domain\AuthService.Domain.csproj,File,src\Services\AuthService\Domain\AuthService.Domain.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.10,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.10  レコメンデーション：  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.2"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AuthService\Domain\AuthService.Domain.csproj,File,src\Services\AuthService\Domain\AuthService.Domain.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.10,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.10  レコメンデーション：  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.2"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,62,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,62,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,62,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,54,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"var token = new JwtSecurityToken(             issuer: issuer,             audience: audience,             claims: claims,             expires: DateTime.UtcNow.AddMinutes(expirationMinutes),             signingCredentials: credentials         );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,54,8,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.#ctor(System.String,System.String,System.Collections.Generic.IEnumerable{System.Security.Claims.Claim},System.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials)",,,,,"var token = new JwtSecurityToken(             issuer: issuer,             audience: audience,             claims: claims,             expires: DateTime.UtcNow.AddMinutes(expirationMinutes),             signingCredentials: credentials         );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,F:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames.Iat,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,F:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames.Jti,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,F:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames.Email,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,F:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames.UniqueName,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\Services\JwtTokenGenerator.cs,37,8,F:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames.Sub,,,,,"var claims = new List<Claim>         {             new(JwtRegisteredClaimNames.Sub, user.Id),             new(JwtRegisteredClaimNames.UniqueName, user.UserName ?? string.Empty),             new(JwtRegisteredClaimNames.Email, user.Email ?? string.Empty),             new(JwtRegisteredClaimNames.Jti, Guid.NewGuid().ToString()),             new(JwtRegisteredClaimNames.Iat, DateTimeOffset.UtcNow.ToUnixTimeSeconds().ToString(), ClaimValueTypes.Integer64)         };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\DependencyInjection.cs,24,8,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,"services.AddIdentity<ApplicationUser, IdentityRole>(options =>         {             // パスワードの要件（開発用に緩和）             options.Password.RequireDigit = true;             options.Password.RequireLowercase = true;             options.Password.RequireUppercase = true;             options.Password.RequireNonAlphanumeric = true;             options.Password.RequiredLength = 8;              // ユーザー設定             options.User.RequireUniqueEmail = true;         })         .AddEntityFrameworkStores<AuthDbContext>()         .AddDefaultTokenProviders();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Services\AuthService\Infrastructure\AuthService.Infrastructure.csproj,File,src\Services\AuthService\Infrastructure\DependencyInjection.cs,24,8,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,"services.AddIdentity<ApplicationUser, IdentityRole>(options =>         {             // パスワードの要件（開発用に緩和）             options.Password.RequireDigit = true;             options.Password.RequireLowercase = true;             options.Password.RequireUppercase = true;             options.Password.RequireNonAlphanumeric = true;             options.Password.RequiredLength = 8;              // ユーザー設定             options.User.RequireUniqueEmail = true;         })         .AddEntityFrameworkStores<AuthDbContext>()         .AddDefaultTokenProviders();"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthService.Tests.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.10,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.10  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthService.Tests.csproj,,,Microsoft.Extensions.Configuration 9.0.10,,,,,"Microsoft.Extensions.Configuration, 9.0.10  レコメンデーション：  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthService.Tests.csproj,,,Microsoft.Extensions.Configuration.Binder 9.0.10,,,,,"Microsoft.Extensions.Configuration.Binder, 9.0.10  レコメンデーション：  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthService.Tests.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 9.0.10,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 9.0.10  レコメンデーション：  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthService.Tests.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.10,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.10  レコメンデーション：  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.2"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthService.Tests.csproj,,,,,,,,現在のターゲット フレームワーク: net9.0 推奨されるターゲット フレームワーク: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AuthService.Tests\AuthService.Tests.csproj,File,tests\AuthService.Tests\AuthServiceTests.cs,312,8,P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.Claims,,,,,"Assert.Contains(jsonToken.Claims, c => c.Type == System.Security.Claims.ClaimTypes.Role && c.Value == ""User"");"
